left_wrist_x,left_wrist_y,left_wrist_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,Left_Elbow_x,Left_Elbow_y,Left_Elbow_z,right_wrist_x,right_wrist_y,right_wrist_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_Elbow_x,right_Elbow_y,right_Elbow_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z,label
0.323951244,0.332911402,-0.755197704,0.663685501,0.318890929,-0.619970441,0.488512188,0.336810559,-0.767086864,0.27330631,0.376341939,-0.045278631,0.614768803,0.321565211,0.037054185,0.440413147,0.351441532,0.099612638,0.276538521,0.329739988,-0.838729441,0.23673445,0.377220064,-0.075239494,0.284009099,0.32143563,-0.811234295,0.233855858,0.376629323,-0.140354216,0.301260471,0.326344103,-0.74558866,0.244042635,0.377219081,-0.083673462,0.649580479,0.494490623,-0.193734288,0.59868896,0.49600181,0.193181813,0.641718924,0.618460894,0.044193067,0.613273859,0.61688298,0.456027478,0.652523994,0.743288219,0.358352214,0.650270283,0.728810728,0.806911528,0.674105763,0.770321906,0.381730229,0.673969686,0.750711203,0.838041902,0.553053379,0.765004396,0.206325099,0.56652391,0.745525181,0.729885936,1
0.272184104,0.361282974,-0.637199044,0.650200546,0.316015795,-0.577315688,0.452138081,0.339617297,-0.687634826,0.420374066,0.42365092,0.12873495,0.648599625,0.325166017,0.067680582,0.517727971,0.365590602,0.219075404,0.230441324,0.359723032,-0.708338976,0.409319803,0.426004335,0.111999586,0.229476891,0.355556995,-0.678091913,0.415345028,0.426555425,0.054760493,0.246600986,0.358187318,-0.623305917,0.41494444,0.427190468,0.096791252,0.646146119,0.497848019,-0.188282311,0.610879451,0.498597622,0.187758729,0.641462058,0.623126864,0.107761621,0.621843427,0.620347947,0.495601654,0.651331425,0.744721919,0.427743942,0.6525383,0.728954464,0.844411343,0.67237398,0.772114426,0.45228143,0.676071197,0.750589639,0.877933234,0.549358755,0.7659823,0.306478709,0.567563891,0.745365679,0.793528229,2
0.215436861,0.400001675,-0.42455098,0.480813473,0.323377252,-0.521453321,0.379717767,0.412420422,-0.552114904,0.425108939,0.465575635,0.27115652,0.53932035,0.320613742,0.127756283,0.512580752,0.415731549,0.272828341,0.178910643,0.387493908,-0.481600702,0.413982838,0.470485985,0.274078071,0.181081384,0.377596557,-0.45567134,0.408006161,0.469396889,0.225990281,0.194023162,0.382136226,-0.410314381,0.411362201,0.467722863,0.247399703,0.489217699,0.506490648,-0.187516376,0.522453547,0.502038002,0.187011883,0.494916856,0.629195035,0.084120132,0.518073976,0.622722268,0.475524694,0.507341743,0.748321772,0.346240044,0.552101612,0.726461768,0.787904322,0.532729864,0.77256906,0.366478443,0.570380509,0.747536898,0.821279883,0.412343949,0.76268816,0.253954977,0.474975526,0.737552702,0.780667603,1
0.196622625,0.346622914,-0.496391714,0.488785684,0.320571542,-0.534602284,0.341294229,0.38564831,-0.590702951,0.434677452,0.468735814,0.20784685,0.529882193,0.320170492,0.123101905,0.505340278,0.411565125,0.246168777,0.164905593,0.329438925,-0.557900906,0.424732268,0.476103604,0.207289398,0.17108795,0.31677857,-0.534500182,0.421159327,0.475105554,0.160545334,0.180607527,0.324361533,-0.482769907,0.423853457,0.472072989,0.183689728,0.503062725,0.50268507,-0.191753954,0.507254779,0.499092609,0.191253021,0.503279746,0.625584781,0.064828359,0.515688956,0.620372593,0.463118911,0.513460159,0.746698141,0.317759067,0.551554441,0.726924121,0.768938422,0.539308786,0.771319747,0.33626911,0.571135819,0.748954773,0.799219966,0.416903555,0.762799501,0.204050213,0.475123763,0.73838836,0.743060291,2
0.292822093,0.341510385,-0.75957799,0.663016617,0.318156779,-0.640058398,0.47533682,0.340112001,-0.765823305,0.287355393,0.37405318,-0.030060656,0.626071572,0.321800083,0.048722804,0.457072854,0.353916705,0.10627088,0.247713283,0.334641904,-0.843781829,0.258179069,0.37305963,-0.055807196,0.255788863,0.325193644,-0.820101202,0.265855044,0.376015782,-0.121423259,0.268549621,0.33340928,-0.751153588,0.267430156,0.375972182,-0.068953551,0.652213395,0.497307122,-0.191869199,0.602452636,0.498172313,0.191362575,0.64428705,0.621483564,0.072462641,0.616609812,0.619568229,0.486314476,0.653601944,0.744483948,0.406889111,0.649985194,0.729031682,0.856734335,0.674260199,0.771498442,0.431627303,0.672674775,0.750610828,0.890677333,0.551611066,0.768825352,0.257509023,0.565806687,0.747341692,0.782956064,1
0.200566918,0.368821323,-0.435111225,0.472905427,0.325113803,-0.507396281,0.344329357,0.407313526,-0.551561236,0.434825033,0.472265631,0.264120698,0.530832648,0.319918036,0.13810502,0.510085881,0.414764643,0.267878085,0.168878078,0.354949415,-0.491221428,0.423571378,0.48075217,0.270550221,0.174207002,0.343536407,-0.464294195,0.417603642,0.479663551,0.224242672,0.185491189,0.348339319,-0.420235783,0.42085135,0.477080226,0.241276219,0.482122928,0.504210234,-0.188197389,0.526327133,0.499147803,0.187616199,0.492665082,0.627268195,0.065292343,0.52563715,0.621546805,0.459837854,0.508542776,0.746048689,0.312787861,0.55709815,0.726782739,0.745608747,0.534430087,0.769924343,0.331579328,0.57428354,0.749950886,0.775629699,0.416960806,0.761014581,0.220071539,0.478889585,0.737750113,0.744268715,2
0.27822575,0.331208766,-0.771720171,0.660456955,0.318145663,-0.642214894,0.470528126,0.334365845,-0.785557389,0.327554643,0.407948941,-0.022934357,0.615863323,0.321651697,0.047810175,0.465057045,0.360040784,0.116738416,0.224776402,0.325002521,-0.862561822,0.308936864,0.399816811,-0.048370093,0.223470643,0.315496624,-0.830803573,0.307619482,0.404251486,-0.119160771,0.249507114,0.320882291,-0.760975122,0.315078259,0.408882707,-0.063846201,0.649944961,0.495331883,-0.197845593,0.602327108,0.496497542,0.197351798,0.644112587,0.619509637,0.079887986,0.617268205,0.617026448,0.504806459,0.655108988,0.742921114,0.42317152,0.651647747,0.727759421,0.887199581,0.6751706,0.768816173,0.449249178,0.673921108,0.7493065,0.922876477,0.555143476,0.764246702,0.27707848,0.568562448,0.743869781,0.812507391,1
0.208152376,0.37646547,-0.394035682,0.47303012,0.323538959,-0.498808265,0.356568009,0.410380468,-0.534212887,0.426542833,0.470078275,0.274482965,0.539254814,0.320624873,0.150460601,0.517697275,0.415963441,0.277421668,0.175927661,0.365587994,-0.449372858,0.413223907,0.475642785,0.2807201,0.180564851,0.352967903,-0.423101977,0.406686202,0.474340186,0.231301688,0.192274049,0.357288271,-0.379684567,0.410469547,0.472516492,0.251540318,0.48120065,0.504095644,-0.189693257,0.527486742,0.500428826,0.189119451,0.491214931,0.627738744,0.070488997,0.525917739,0.621938586,0.479606584,0.506709605,0.746797651,0.31415911,0.556975335,0.726553112,0.784838825,0.531983823,0.770649254,0.334668681,0.575217336,0.748252451,0.817443967,0.415432259,0.761758208,0.231398836,0.480071187,0.73661834,0.77997613,2
0.273435906,0.328787938,-0.769118726,0.659118116,0.317609951,-0.643641919,0.466660455,0.332263395,-0.790180594,0.33025609,0.37899594,-0.034151113,0.61843124,0.321128532,0.037609162,0.467723653,0.354675084,0.099235408,0.22699187,0.323437229,-0.864044428,0.308018476,0.378192902,-0.05915056,0.230437949,0.314722076,-0.827603012,0.306025311,0.378738508,-0.123648994,0.242517501,0.321151406,-0.756949544,0.311638489,0.380343735,-0.071125858,0.649601042,0.496227637,-0.197235972,0.601733744,0.497048661,0.196687862,0.64473626,0.618462265,0.081307091,0.617591023,0.617543131,0.51000908,0.655370146,0.743748039,0.425566047,0.651642352,0.728261888,0.888524741,0.675900161,0.77040872,0.45093368,0.674322814,0.749630839,0.922837198,0.554842442,0.765912235,0.281323835,0.567204356,0.745763719,0.815222353,1
0.206915587,0.38277258,-0.432332665,0.478313759,0.32434693,-0.518950492,0.362736955,0.411519766,-0.561253756,0.429783419,0.470681027,0.268538699,0.533564955,0.319979742,0.128874324,0.51164493,0.414124206,0.273542702,0.173141807,0.370592415,-0.493737087,0.418013096,0.476906195,0.273486629,0.177948341,0.359992594,-0.468520746,0.411560163,0.475433871,0.226998344,0.189489953,0.364239603,-0.41877611,0.415587038,0.473504931,0.247153312,0.483954608,0.50607428,-0.190816551,0.523638248,0.501076102,0.190253943,0.49320969,0.628423035,0.093826782,0.521263272,0.622342914,0.484046757,0.508524984,0.746071368,0.364012361,0.554613233,0.726321906,0.796818227,0.534989685,0.770599395,0.386232287,0.572763681,0.748627841,0.829772949,0.413743958,0.762125462,0.274481371,0.476425081,0.736646265,0.790807337,2
